Insee;ratio_surf_old;ratio_surf_new
33514;95.4;72.2
27299;98.0;82.6
29083;81.3;83.8
14488;77.0;97.0
17325;98.8;66.5
08422;97.3;82.9
17328;98.5;68.4
44116;98.0;28.4
52234;84.6;84.0
54219;80.4;96.9
44046;98.8;69.3
33389;98.8;73.4
45246;98.0;81.4
57596;97.2;83.5
17437;98.0;22.8
17410;99.3;64.5
85307;84.2;73.6
39252;82.9;97.7
69166;92.6;81.5
56195;84.0;95.1
17098;98.7;48.8
27546;51.1;95.6
70051;99.0;66.4
14665;64.8;96.8
44103;99.1;82.5
33538;98.8;43.3
67450;95.9;81.3
54074;84.5;84.0
59272;76.3;98.5
33490;98.7;54.2
71171;96.3;80.9
80304;84.6;97.4
52331;98.7;58.2
59332;98.5;80.0
17333;97.8;82.1
78644;95.9;78.6
44010;70.3;98.7
33493;98.8;44.6
17015;98.4;82.1
85134;83.6;82.9
59359;99.1;83.8
33208;99.5;50.0
33544;99.1;49.8
68280;97.0;84.9
02596;83.6;97.5
27240;84.9;82.8
31256;76.5;75.1
33073;99.4;71.9
11202;97.3;54.8
17248;98.8;58.1
67141;78.9;97.9
27023;93.8;81.4
33383;98.7;30.7
70100;97.1;75.2
17405;99.1;56.2
33395;99.0;71.1
64260;92.0;76.5
09070;94.7;84.6
33476;99.4;67.4
73091;97.4;82.1
44052;99.3;83.4
33038;98.7;69.8
95633;87.7;69.6
17230;99.0;55.9
17034;98.9;28.4
44154;99.3;75.8
33521;98.8;51.5
33103;78.3;78.1
68244;92.3;83.8
