Insee_new;Insee_old;Abonnement_apic;Abonnement_apoc
13212;13055;;
13210;13055;;
13207;13055;;
13208;13055;;
13214;13055;;
13209;13055;;
13206;13055;;
13205;13055;;
13201;13055;;
13202;13055;;
13216;13055;;
13215;13055;;
13211;13055;;
13203;13055;;
13204;13055;;
13213;13055;;
31300;31483;;
52278;52031;;
52465;52332;;
52033;52332;;
52266;52427;;
52124;52504;;
55138;55298;;
69387;69123;;
69384;69123;;
69388;69123;;
69383;69123;;
69386;69123;;
69381;69123;;
69389;69123;;
69385;69123;;
69382;69123;;
76601;76676;;
89326;89387;;
